stack,buffer,new dependency,transition
ROOT,"I, parsed, this, sentence, correctly",,Init
"ROOT, I","parsed, this, sentence, correctly",,SHIFT
"ROOT, I, parsed","this, sentence, correctly",,SHIFT
"ROOT, parsed","this, sentence, correctly",parsed -> I,LEFT-ARC
"ROOT, parsed, this","sentence, correctly",,SHIFT
"ROOT, parsed, this, sentence",correctly,,SHIFT
"ROOT, parsed, sentence",correctly,sentence -> this,LEFT-ARC
"ROOT, parsed",correctly,parsed -> sentence,RIGHT-ARC
"ROOT, parsed, correctly",,,SHIFT
"ROOT, parsed",,parsed -> correctly,RIGHT-ARC
ROOT,,ROOT -> parsed,RIGHT-ARC
